City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
105,Voh,NC,76.87,broken clouds,-20.9667,164.7,Le gîte du Koniambo
112,Marawi,PH,79.97,overcast clouds,7.9986,124.2928,Derogongan Residence
113,Podor,MR,84.43,clear sky,16.6527,-14.9587,Auberge Du Tékrour
114,Bani,DO,74.64,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
115,Bathsheba,BB,81.05,scattered clouds,13.2167,-59.5167,Atlantis Hotel
116,Mahibadhoo,MV,81.07,overcast clouds,3.7833,72.9667,Omadhoo Inn
122,Sao Joao Da Barra,BR,72.16,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
127,Itarema,BR,77.34,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
128,Guayaramerin,BO,76.33,light rain,-10.8368,-65.3614,Hostal Funf
129,Russell,US,76.23,clear sky,32.3502,-85.1999,Macs
131,Floriano,BR,71.47,clear sky,-6.7669,-43.0225,Hotel Maktub
133,Raduzhnyy,RU,66.0,overcast clouds,62.0961,77.475,Gostiny Dvor Evgeniya
135,Warri,NG,75.13,overcast clouds,5.5167,5.75,GT Guesthouse
136,Salinas,US,69.89,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
141,Leh,IN,65.07,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
142,Capoterra,IT,78.53,clear sky,39.1763,8.9718,Ariedo Bed And Breakfast
144,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
146,Alice Springs,AU,70.21,clear sky,-23.7,133.8833,Desert Palms Alice Springs
147,Hobyo,SO,75.07,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
149,Esmeralda,CU,78.19,few clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
151,Kieta,PG,82.72,light rain,-6.2167,155.6333,Uruna Bay Retreat
153,Shelburne,CA,72.23,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
158,Baker City,US,79.59,clear sky,44.7749,-117.8344,Bridge Street Inn
159,Esso,RU,77.74,few clouds,55.9333,158.7,Paramushir Tur
160,Bud,US,80.62,clear sky,39.447,-86.1758,Ted McQuinn Trust
161,Mahebourg,MU,66.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
166,Tautira,PF,74.35,light rain,-17.7333,-149.15,Pension Oaoa
168,Hohhot,CN,72.82,overcast clouds,40.8106,111.6522,Sheraton Hohhot Hotel
171,Karaidel,RU,69.98,broken clouds,55.8337,56.9069,Karaidel'
172,Vaitape,PF,76.46,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
174,Bose,IT,69.21,overcast clouds,45.4612,8.0137,Locanda Borgo Antico
176,Grand Gaube,MU,66.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
177,Sidrolandia,BR,65.84,overcast clouds,-20.9319,-54.9614,Agropet São Francisco
178,Lagoa,PT,73.35,light rain,39.05,-27.9833,Casa Das Faias
180,Roebourne,AU,76.28,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
183,Dicabisagan,PH,81.48,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
184,Alexandria,EG,78.48,clear sky,31.2156,29.9553,Royal Crown Hotel
188,Kirakira,SB,82.58,light rain,-10.4544,161.9205,SanBiz Lodge
189,Sao Jose Da Coroa Grande,BR,75.78,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
192,Kamaishi,JP,82.78,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
197,Tarpon Springs,US,81.97,scattered clouds,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
198,Trairi,BR,77.11,few clouds,-3.2778,-39.2689,janelas do mar
199,Kavieng,PG,83.28,light rain,-2.5744,150.7967,Nusa Island Retreat
