City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Mahibadhoo,MV,3.7833,72.9667,81.07,79,98,12.24,overcast clouds
117,Lentekhi,GE,42.7856,42.7261,64.92,88,79,4.47,broken clouds
118,Longyearbyen,SJ,78.2186,15.6401,44.44,93,75,11.5,light intensity drizzle rain
119,Kamenka,RU,51.3223,42.7678,68.27,46,2,5.01,clear sky
120,Qaanaaq,GL,77.484,-69.3632,37.58,55,7,7.7,clear sky
121,New Norfolk,AU,-42.7826,147.0587,54.91,44,2,2.15,clear sky
122,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.16,90,67,9.19,broken clouds
123,High Level,CA,58.5169,-117.136,63.5,66,98,7.56,overcast clouds
124,Turbat,PK,26.0023,63.044,85.37,66,99,1.43,overcast clouds
125,Fairbanks,US,64.8378,-147.7164,59.59,67,100,5.75,overcast clouds
126,Port Alfred,ZA,-33.5906,26.891,57.18,99,84,3.0,heavy intensity rain
127,Itarema,BR,-2.9248,-39.9167,77.34,83,6,16.13,clear sky
128,Guayaramerin,BO,-10.8368,-65.3614,76.33,72,87,1.16,light rain
129,Russell,US,32.3502,-85.1999,76.23,94,0,3.44,clear sky
130,Tasiilaq,GL,65.6145,-37.6368,41.16,99,100,4.83,light rain
131,Floriano,BR,-6.7669,-43.0225,71.47,38,0,3.98,clear sky
132,Tuktoyaktuk,CA,69.4541,-133.0374,46.22,74,83,7.31,broken clouds
133,Raduzhnyy,RU,62.0961,77.475,66.0,57,97,3.44,overcast clouds
134,Vardo,NO,70.3705,31.1107,49.98,81,75,12.66,light intensity shower rain
135,Warri,NG,5.5167,5.75,75.13,88,100,3.44,overcast clouds
136,Salinas,US,36.6777,-121.6555,69.89,69,0,11.5,clear sky
137,Ostrovnoy,RU,68.0531,39.5131,52.88,74,95,12.71,overcast clouds
138,Kahului,US,20.8947,-156.47,89.62,45,20,19.57,few clouds
139,Tessalit,ML,20.1986,1.0114,89.08,33,1,7.78,clear sky
140,Mercedes,AR,-34.6515,-59.4307,43.65,87,38,10.87,scattered clouds
141,Leh,IN,34.1667,77.5833,65.07,55,96,5.61,overcast clouds
142,Capoterra,IT,39.1763,8.9718,78.53,88,0,5.75,clear sky
143,De Aar,ZA,-30.6497,24.0123,44.92,79,0,9.91,clear sky
144,Gat,IL,31.61,34.7642,78.4,73,0,1.3,clear sky
145,Qunduz,AF,36.729,68.857,91.4,14,0,3.87,clear sky
146,Alice Springs,AU,-23.7,133.8833,70.21,21,2,12.66,clear sky
147,Hobyo,SO,5.3505,48.5268,75.07,83,15,23.31,few clouds
148,Pendleton,US,45.6721,-118.7886,89.2,22,0,11.99,clear sky
149,Esmeralda,CU,21.8525,-78.1169,78.19,79,14,9.55,few clouds
150,Lasa,IT,46.6166,10.7002,55.69,90,94,3.2,overcast clouds
151,Kieta,PG,-6.2167,155.6333,82.72,77,56,4.61,light rain
152,Uddevalla,SE,58.3478,11.9424,60.08,95,73,4.16,broken clouds
153,Shelburne,CA,44.0787,-80.2041,72.23,91,100,6.49,overcast clouds
154,Henties Bay,NA,-22.116,14.2845,53.8,90,72,5.75,broken clouds
155,Iqaluit,CA,63.7506,-68.5145,41.7,86,98,1.99,overcast clouds
156,Portland,US,45.5234,-122.6762,93.67,33,0,5.01,clear sky
157,Grojec,PL,51.8625,20.8676,59.34,82,71,5.57,broken clouds
158,Baker City,US,44.7749,-117.8344,79.59,21,0,1.57,clear sky
159,Esso,RU,55.9333,158.7,77.74,51,22,4.38,few clouds
160,Bud,US,39.447,-86.1758,80.62,95,9,6.76,clear sky
161,Mahebourg,MU,-20.4081,57.7,66.25,94,40,4.61,scattered clouds
162,Ulsteinvik,NO,62.3432,5.8487,58.75,84,99,5.01,overcast clouds
163,Souillac,MU,-20.5167,57.5167,62.98,94,40,3.44,scattered clouds
164,Koryukivka,UA,51.7688,32.2481,60.58,96,93,7.61,overcast clouds
165,Qaqortoq,GL,60.7167,-46.0333,44.31,81,9,3.13,clear sky
166,Tautira,PF,-17.7333,-149.15,74.35,75,60,24.81,light rain
