City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,Ekpoma,6.7421,6.139,69.51,97,91,5.82,NG,2022-08-07 22:22:31
108,Nyurba,63.2842,118.3319,51.55,86,63,2.3,RU,2022-08-07 22:22:32
109,Guerrero Negro,27.9769,-114.0611,86.31,55,95,14.63,MX,2022-08-07 22:22:32
110,Rodrigues Alves,-7.738,-72.6509,79.0,69,49,0.72,BR,2022-08-07 22:22:32
111,Malindi,-3.2175,40.1191,73.87,80,45,17.67,KE,2022-08-07 22:22:32
112,Dikson,73.5069,80.5464,42.04,100,100,9.95,RU,2022-08-07 22:22:33
113,Salalah,17.0151,54.0924,75.29,100,100,4.61,OM,2022-08-07 22:22:33
114,Luganville,-15.5333,167.1667,81.57,73,6,3.31,VU,2022-08-07 22:22:33
115,Awbari,26.5921,12.7805,86.34,19,0,9.19,LY,2022-08-07 22:22:34
116,Meulaboh,4.1363,96.1285,75.76,88,88,3.38,ID,2022-08-07 22:22:34
117,Cape Town,-33.9258,18.4232,57.11,88,0,6.91,ZA,2022-08-07 22:20:03
118,Mar Del Plata,-38.0023,-57.5575,46.09,82,75,9.22,AR,2022-08-07 22:22:34
119,Sonoita,31.85,-112.8333,97.48,29,26,9.64,MX,2022-08-07 22:22:35
120,Zhigansk,66.7697,123.3711,50.59,90,73,16.15,RU,2022-08-07 22:22:35
121,Kodinar,20.7903,70.7031,80.33,90,100,11.59,IN,2022-08-07 22:22:35
122,Nikolskoye,59.7035,30.7861,58.89,79,11,4.09,RU,2022-08-07 22:22:36
123,Ponta Delgada,37.7333,-25.6667,72.32,88,40,3.44,PT,2022-08-07 22:22:36
124,Sabang,5.8933,95.3214,81.45,74,94,19.06,ID,2022-08-07 22:22:36
125,Sao Joao Da Barra,-21.6403,-41.0511,72.45,89,16,14.94,BR,2022-08-07 22:22:37
126,Hamilton,39.1834,-84.5333,90.25,69,0,6.91,US,2022-08-07 22:21:36
127,Tasiilaq,65.6145,-37.6368,44.76,96,100,4.32,GL,2022-08-07 22:22:37
128,Cusco,-13.5183,-71.9781,53.83,54,40,3.44,PE,2022-08-07 22:22:05
129,Sinnamary,5.3833,-52.95,79.92,78,99,10.04,GF,2022-08-07 22:22:37
130,Tocopilla,-22.092,-70.1979,63.0,63,4,1.72,CL,2022-08-07 22:22:38
131,Solnechnyy,50.7214,136.6319,61.95,100,100,4.25,RU,2022-08-07 22:22:38
132,Sola,-13.8833,167.55,79.47,89,40,0.0,VU,2022-08-07 22:22:38
133,Kahului,20.8947,-156.47,91.42,43,20,15.01,US,2022-08-07 22:19:45
134,Puerto Cabello,10.4731,-68.0125,90.95,80,73,11.86,VE,2022-08-07 22:22:39
135,Kemi,65.8596,24.8228,55.17,71,0,8.05,FI,2022-08-07 22:22:39
136,La Crosse,43.8014,-91.2396,82.36,81,75,10.36,US,2022-08-07 22:21:45
137,Dauriya,49.9333,116.8667,51.4,69,6,14.09,RU,2022-08-07 22:23:39
138,Kirakira,-10.4544,161.9205,81.1,80,93,7.52,SB,2022-08-07 22:23:40
139,Port Keats,-14.25,129.55,72.91,69,100,5.73,AU,2022-08-07 22:23:40
140,Colomi,-17.35,-65.8667,59.02,81,96,6.15,BO,2022-08-07 22:23:40
141,San Cristobal,7.7669,-72.225,77.18,61,94,5.14,VE,2022-08-07 22:23:09
142,Hasaki,35.7333,140.8333,82.8,87,9,12.1,JP,2022-08-07 22:23:40
143,Tezu,27.9167,96.1667,77.63,90,58,4.29,IN,2022-08-07 22:23:41
144,Oranjestad,12.524,-70.027,81.03,84,7,20.85,AW,2022-08-07 22:21:48
145,Whitehorse,60.7161,-135.0538,56.1,78,75,2.3,CA,2022-08-07 22:23:41
146,Rio Grande,-32.035,-52.0986,57.31,82,100,14.99,BR,2022-08-07 22:23:42
147,Daru,-9.0763,143.2092,77.88,88,79,15.5,PG,2022-08-07 22:23:42
148,Nizhniy Tsasuchey,50.5167,115.1333,49.86,70,2,10.89,RU,2022-08-07 22:23:42
149,Doctor Mora,21.1417,-100.3125,74.53,37,93,17.78,MX,2022-08-07 22:23:42
150,Charters Towers,-20.1,146.2667,58.35,39,6,12.66,AU,2022-08-07 22:23:43
151,Kumeny,58.1089,49.9161,67.19,71,80,5.1,RU,2022-08-07 22:23:43
152,Chernyshevskiy,63.0128,112.4714,47.7,97,100,1.88,RU,2022-08-07 22:23:43
153,Makakilo City,21.3469,-158.0858,86.32,50,0,13.8,US,2022-08-07 22:23:44
154,Morondava,-20.2833,44.2833,70.16,76,0,9.6,MG,2022-08-07 22:23:44
155,Vardo,70.3705,31.1107,48.18,81,100,13.8,NO,2022-08-07 22:23:44
156,Imbituba,-28.24,-48.6703,63.86,99,100,2.24,BR,2022-08-07 22:23:44
157,Vostok,46.4856,135.8833,65.1,98,100,3.11,RU,2022-08-07 22:23:45
158,Nichinan,31.6,131.3667,82.08,84,41,4.03,JP,2022-08-07 22:23:45
159,Valparaiso,-33.0393,-71.6273,55.63,91,20,5.75,CL,2022-08-07 22:22:11
160,Vallenar,-28.5708,-70.7581,63.61,39,68,4.29,CL,2022-08-07 22:23:45
161,Karaikkudi,10.0667,78.7833,79.74,67,99,12.44,IN,2022-08-07 22:23:46
162,Arinos,-15.9169,-46.1056,79.0,28,12,3.58,BR,2022-08-07 22:23:46
163,Bulgan,48.8125,103.5347,51.82,88,61,0.69,MN,2022-08-07 22:23:46
164,Alofi,-19.0595,-169.9187,80.49,69,7,12.66,NU,2022-08-07 22:23:46
165,Klaksvik,62.2266,-6.589,54.52,99,98,15.73,FO,2022-08-07 22:23:47
166,Labuhan,-6.8844,112.2051,74.57,87,7,9.42,ID,2022-08-07 22:23:47
167,Lompoc,34.6391,-120.4579,87.78,64,0,27.0,US,2022-08-07 22:23:47
168,Lahij,13.1667,44.5833,86.07,60,76,3.42,YE,2022-08-07 22:23:48
169,Constitucion,-35.3333,-72.4167,50.36,84,19,9.62,CL,2022-08-07 22:23:48
170,Kutum,14.2,24.6667,74.08,66,65,10.67,SD,2022-08-07 22:23:48
171,Katsuura,35.1333,140.3,81.79,84,5,13.71,JP,2022-08-07 22:23:49
172,Nanortalik,60.1432,-45.2371,45.09,82,7,8.84,GL,2022-08-07 22:23:49
173,Zemio,5.0314,25.1361,68.11,97,95,3.02,CF,2022-08-07 22:23:49
174,Saint George,37.1041,-113.5841,102.79,15,0,7.0,US,2022-08-07 22:19:19
175,Dingle,10.9995,122.6711,74.23,92,99,3.89,PH,2022-08-07 22:23:50
176,Peace River,56.2501,-117.286,80.91,36,40,26.46,CA,2022-08-07 22:23:50
177,Astara,38.5,48.6667,71.58,57,0,2.44,AZ,2022-08-07 22:23:50
178,Kalengwa,-13.4659,25.0027,57.34,37,0,5.21,ZM,2022-08-07 22:23:51
179,Omboue,-1.5746,9.2618,70.56,80,44,7.56,GA,2022-08-07 22:23:51
180,Sidney,-33.8679,151.2073,52.38,77,40,12.66,AU,2022-08-07 22:21:23
181,Saint-Pierre,-21.3393,55.4781,67.68,71,75,6.91,RE,2022-08-07 22:24:51
182,Nador,35.174,-2.9287,79.05,83,40,0.0,MA,2022-08-07 22:24:52
183,Marsabit,2.3284,37.9899,62.71,64,60,17.96,KE,2022-08-07 22:24:52
184,Saint-Joseph,-21.3667,55.6167,66.58,80,9,6.26,RE,2022-08-07 22:24:52
185,Orangeburg,33.4918,-80.8557,84.94,84,0,3.44,US,2022-08-07 22:23:25
186,Virden,39.5009,-89.7679,91.06,74,100,3.62,US,2022-08-07 22:24:53
187,Bonavista,48.6499,-53.1147,69.96,82,54,20.98,CA,2022-08-07 22:24:53
188,Obodivka,48.4051,29.2477,64.4,94,94,11.5,UA,2022-08-07 22:24:53
189,Romans-Sur-Isere,45.0464,5.0562,72.37,55,0,3.89,FR,2022-08-07 22:22:29
190,Gambela,8.25,34.5833,68.11,96,99,2.26,ET,2022-08-07 22:24:53
191,Sabya,17.1495,42.6254,85.62,73,9,3.8,SA,2022-08-07 22:24:54
192,Ancud,-41.8697,-73.8203,45.23,76,12,1.52,CL,2022-08-07 22:24:54
193,Lagoa,39.05,-27.9833,73.81,82,14,17.6,PT,2022-08-07 22:22:36
